match_id,match,kickoff_shanghai,stage,home_goals,away_goals,home_win,away_win,draw,over25,under25,btts,favorite_side,favorite_win,xg_diff_home,xg_abs_diff,xg_balance,xg_total,group_home_xg_delta,group_away_xg_delta,group_delta_diff_home,physical_home_xg_delta,physical_away_xg_delta,physical_delta_diff_home,physical_draw_delta,context_home_xg_delta,context_away_xg_delta,context_diff_home,context_btts_delta,context_over25_delta,context_draw_delta,form_points_diff_home,form_gf_diff_home,form_ga_diff_home,form_total_goals,height_diff_home,age_diff_home,caps_diff_home,top_tier_diff_home,gk_score_diff_home,df_score_diff_home,mf_score_diff_home,fw_score_diff_home,wc_appearances_diff_home,wc_titles_diff_home,wc_win_rate_diff_home,h2h_matches,h2h_home_win_share,h2h_away_win_share,h2h_goal_total_per_match,has_human_matchup_summary
schedule-760416,加拿大 vs 波黑,2026-06-12T19:00:00.000Z,modelled_group_window,1,1,0,0,1,0,1,1,home,0,0.3700000000000001,0.3700000000000001,-0.3700000000000001,2.25,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
schedule-760417,美国 vs 巴拉圭,2026-06-13T01:00:00.000Z,modelled_group_window,4,1,1,0,0,1,0,1,home,1,0.3600000000000001,0.3600000000000001,-0.3600000000000001,2.24,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
schedule-760420,卡塔尔 vs 瑞士,2026-06-13T19:00:00.000Z,modelled_group_window,1,1,0,0,1,0,1,1,away,0,-0.15999999999999992,0.15999999999999992,-0.15999999999999992,2.16,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
schedule-760419,巴西 vs 摩洛哥,2026-06-13T22:00:00.000Z,modelled_group_window,1,1,0,0,1,0,1,1,home,0,0.41000000000000003,0.41000000000000003,-0.41000000000000003,2.23,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1,0.0,1.0,3.0,0
schedule-760418,海地 vs 苏格兰,2026-06-14T01:00:00.000Z,modelled_group_window,0,1,0,1,0,0,1,0,away,1,-0.15999999999999992,0.15999999999999992,-0.15999999999999992,2.16,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
schedule-760421,澳大利亚 vs 土耳其,2026-06-14T04:00:00.000Z,modelled_group_window,2,0,1,0,0,0,1,0,home,1,0.10999999999999988,0.10999999999999988,-0.10999999999999988,2.19,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
schedule-760422,德国 vs 库拉索,2026-06-14T17:00:00.000Z,modelled_group_window,7,1,1,0,0,1,0,1,home,1,0.75,0.75,-0.75,2.27,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
schedule-760425,荷兰 vs 日本,2026-06-14T20:00:00.000Z,modelled_group_window,2,2,0,0,1,1,0,1,home,0,0.32000000000000006,0.32000000000000006,-0.32000000000000006,2.2199999999999998,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
schedule-760423,科特迪瓦 vs 厄瓜多尔,2026-06-14T23:00:00.000Z,modelled_group_window,1,0,1,0,0,0,1,0,home,1,0.10999999999999988,0.10999999999999988,-0.10999999999999988,2.19,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
schedule-760424,瑞典 vs 突尼斯,2026-06-15T02:00:00.000Z,modelled_group_window,5,1,1,0,0,1,0,1,home,1,0.24,0.24,-0.24,2.2,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
schedule-760428,西班牙 vs 佛得角,2026-06-15T16:00:00.000Z,modelled_group_window,0,0,0,0,1,0,1,0,home,0,0.73,0.73,-0.73,2.27,,,0.0,,,0.0,,,,,,,,0.19999999999999996,0.40000000000000013,-0.3999999999999999,5.2,,,,,,,,,,,,0,,,,0
schedule-760426,比利时 vs 埃及,2026-06-15T19:00:00.000Z,modelled_group_window,1,1,0,0,1,0,1,1,home,0,0.38,0.38,-0.38,2.22,,,0.0,,,0.0,,,,,,,,0.33333333333333337,2.8,0.19999999999999996,6.2,,,,,,,,,,,,1,0.0,1.0,3.0,0
schedule-760429,沙特阿拉伯 vs 乌拉圭,2026-06-15T22:00:00.000Z,modelled_group_window,1,1,0,0,1,0,1,1,away,0,-0.19999999999999996,0.19999999999999996,-0.19999999999999996,2.16,,,0.0,,,0.0,,,,,,,,-0.13333333333333336,0.19999999999999996,0.20000000000000018,4.800000000000001,,,,,,,,,,,,0,,,,0
schedule-760427,伊朗 vs 新西兰,2026-06-16T01:00:00.000Z,modelled_group_window,2,2,0,0,1,1,0,1,home,0,0.4800000000000001,0.4800000000000001,-0.4800000000000001,2.24,,,0.0,,,0.0,,,,,,,,0.3333333333333333,0.8,-1.6,4.8,,,,,,,,,,,,0,,,,0
schedule-760432,法国 vs 塞内加尔,2026-06-16T19:00:00.000Z,modelled_group_window,3,1,1,0,0,1,0,1,home,1,0.59,0.59,-0.59,2.25,,,0.0,,,0.0,,,,,,,,0.33333333333333337,1.0,-0.19999999999999996,6.4,,,,,,,,,,,,0,,,,0
schedule-760430,伊拉克 vs 挪威,2026-06-16T22:00:00.000Z,modelled_group_window,1,4,0,1,0,1,0,1,home,0,0.15999999999999992,0.15999999999999992,-0.15999999999999992,2.2,,,0.0,,,0.0,,,,,,,,0.1333333333333333,-0.6000000000000001,0.0,5.0,,,,,,,,,,,,0,,,,0
schedule-760433,阿根廷 vs 阿尔及利亚,2026-06-17T01:00:00.000Z,modelled_group_window,3,0,1,0,0,1,0,0,home,1,0.6499999999999999,0.6499999999999999,-0.6499999999999999,2.25,,,0.0,,,0.0,,,,,,,,0.33333333333333337,0.3999999999999999,-0.2,5.800000000000001,,,,,,,,,,,,0,,,,0
schedule-760431,奥地利 vs 约旦,2026-06-17T04:00:00.000Z,modelled_group_window,3,1,1,0,0,1,0,1,home,1,0.15999999999999992,0.15999999999999992,-0.15999999999999992,2.2,,,0.0,,,0.0,,,,,,,,0.6666666666666667,1.0,-1.6,5.4,,,,,,,,,,,,0,,,,0
schedule-760435,葡萄牙 vs 刚果（金）,2026-06-17T17:00:00.000Z,modelled_group_window,1,1,0,0,1,0,1,1,home,0,0.5199999999999999,0.5199999999999999,-0.5199999999999999,2.2399999999999998,,,0.0,,,0.0,,,,,,,,0.4,2.2,0.0,5.0,,,,,,,,,,,,0,,,,0
schedule-760437,英格兰 vs 克罗地亚,2026-06-17T20:00:00.000Z,modelled_group_window,4,2,1,0,0,1,0,1,home,1,0.29000000000000004,0.29000000000000004,-0.29000000000000004,2.17,,,0.0,,,0.0,,,,,,,,0.06666666666666665,-0.20000000000000018,-1.4,5.2,,,,,,,,,,,,0,,,,0
schedule-760434,加纳 vs 巴拿马,2026-06-17T23:00:00.000Z,modelled_group_window,1,0,1,0,0,0,1,0,home,1,0.15999999999999992,0.15999999999999992,-0.15999999999999992,2.2,,,0.0,,,0.0,,,,,,,,-0.4666666666666667,-1.4,0.0,7.000000000000001,,,,,,,,,,,,0,,,,0
schedule-760436,乌兹别克斯坦 vs 哥伦比亚,2026-06-18T02:00:00.000Z,modelled_group_window,1,3,0,1,0,1,0,1,home,0,0.15999999999999992,0.15999999999999992,-0.15999999999999992,2.2,,,0.0,,,0.0,,,,,,,,-0.26666666666666666,-0.8,0.19999999999999996,5.8,,,,,,,,,,,,0,,,,0
schedule-760438,捷克 vs 南非,2026-06-18T16:00:00.000Z,modelled_group_window,1,1,0,0,1,0,1,1,home,0,0.32000000000000006,0.32000000000000006,-0.32000000000000006,2.1399999999999997,,,0.0,,,0.0,,,,,,,,0.2,1.4,0.6000000000000001,5.2,,,,,,,,,,,,0,,,,0
schedule-760439,瑞士 vs 波黑,2026-06-18T19:00:00.000Z,modelled_group_window,4,1,1,0,0,1,0,1,home,1,0.41000000000000003,0.41000000000000003,-0.41000000000000003,2.23,,,0.0,,,0.0,,,,,,,,0.06666666666666671,1.0,0.5999999999999999,4.8,,,,,,,,,,,,0,,,,0
schedule-760440,加拿大 vs 卡塔尔,2026-06-18T22:00:00.000Z,modelled_group_window,6,0,1,0,0,1,0,0,home,1,0.38,0.38,-0.38,2.22,,,0.0,,,0.0,,,,,,,,0.13333333333333336,0.3999999999999999,-0.19999999999999996,3.8,,,,,,,,,,,,0,,,,0
schedule-760441,墨西哥 vs 韩国,2026-06-19T01:00:00.000Z,modelled_group_window,1,0,1,0,0,0,1,0,home,1,0.3500000000000001,0.3500000000000001,-0.3500000000000001,2.21,,,0.0,,,0.0,,,,,,,,0.2666666666666667,0.6000000000000001,-0.7999999999999999,5.4,,,,,,,,,,,,0,,,,0
schedule-760442,美国 vs 澳大利亚,2026-06-19T19:00:00.000Z,modelled_group_window,2,0,1,0,0,0,1,0,home,1,0.29000000000000004,0.29000000000000004,-0.29000000000000004,2.21,,,0.0,,,0.0,,,,,,,,-0.2666666666666666,0.19999999999999996,1.7999999999999998,6.8,,,,,,,,,,,,0,,,,0
schedule-760445,苏格兰 vs 摩洛哥,2026-06-19T22:00:00.000Z,modelled_group_window,0,1,0,1,0,0,1,0,none,0,0.0,0.0,-0.0,2.18,,,0.0,,,0.0,,,,,,,,-0.1333333333333333,-0.8,0.0,5.6,,,,,,,,,,,,0,,,,0
schedule-760444,巴西 vs 海地,2026-06-20T00:30:00.000Z,modelled_group_window,3,0,1,0,0,1,0,0,home,1,0.75,0.75,-0.75,2.27,,,0.0,,,0.0,,,,,,,,0.39999999999999997,1.4000000000000001,0.3999999999999999,6.2,,,,,,,,,,,,0,,,,0
schedule-760443,土耳其 vs 巴拉圭,2026-06-20T03:00:00.000Z,modelled_group_window,0,1,0,1,0,0,1,0,home,0,0.20999999999999996,0.20999999999999996,-0.20999999999999996,2.21,,,0.0,,,0.0,,,,,,,,0.20000000000000007,-0.19999999999999996,-0.7999999999999999,5.4,,,,,,,,,,,,0,,,,0
schedule-760497,西班牙 vs 奥地利,2026-07-02T19:00:00.000Z,knockout_early,3,0,1,0,0,1,0,0,home,1,1.5470000000000002,1.5470000000000002,-1.5470000000000002,2.613,,,0.0,,,0.0,,0.0,0.0,0.0,0.0171,-0.011,0.0066,0.06666666666666665,0.19999999999999996,-0.7999999999999999,5.0,-3.3000000000000114,-2.0,-10.0,0.5389999999999999,25.200000000000003,15.800000000000004,51.699999999999996,1.1999999999999957,9.0,1.0,0.047186147186147165,0,,,,1
schedule-760496,葡萄牙 vs 克罗地亚,2026-07-02T23:00:00.000Z,knockout_early,2,1,1,0,0,1,0,1,home,1,0.672,0.672,-0.672,2.4,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0066,0.1333333333333333,0.6000000000000001,-1.0,5.6,-3.0,-0.3999999999999986,-1.7999999999999972,0.384,14.899999999999999,15.500000000000007,21.300000000000004,18.4,2.0,0.0,0.020361990950226283,0,,,,1
schedule-760498,瑞士 vs 阿尔及利亚,2026-07-03T03:00:00.000Z,knockout_early,2,0,1,0,0,0,1,0,home,1,0.9349999999999999,0.9349999999999999,-0.9349999999999999,2.485,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0046,0.06666666666666665,0.3999999999999999,-0.3999999999999999,6.800000000000001,2.5999999999999943,1.3000000000000007,14.899999999999999,0.0,20.599999999999998,15.200000000000003,-6.199999999999999,7.399999999999999,8.0,0.0,0.11363636363636365,0,,,,1
schedule-760499,澳大利亚 vs 埃及,2026-07-03T18:00:00.000Z,knockout_early,1,1,0,0,1,0,1,1,away,0,-0.03500000000000014,0.03500000000000014,-0.03500000000000014,2.181,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0061,-0.2,-0.7999999999999999,-0.19999999999999996,3.8,2.8000000000000114,-1.8000000000000007,-5.9999999999999964,-0.077,-10.300000000000004,6.5,-0.40000000000000213,-20.099999999999998,3.0,0.0,0.11739130434782608,0,,,,1
schedule-760500,阿根廷 vs 佛得角,2026-07-03T22:00:00.000Z,knockout_early,3,2,1,0,0,1,0,1,home,1,2.363,2.363,-2.363,2.8009999999999997,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,1.4000000000000001,-0.39999999999999997,4.6,-2.1000000000000227,-0.5,19.500000000000004,0.5619999999999999,24.700000000000003,33.2,37.7,47.8,18.0,3.0,0.5494505494505495,0,,,,1
schedule-760501,哥伦比亚 vs 加纳,2026-07-04T01:30:00.000Z,knockout_early,1,0,1,0,0,0,1,0,home,1,0.721,0.721,-0.721,2.327,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333334,1.2000000000000002,-0.6,3.8000000000000003,-2.5999999999999943,3.200000000000003,17.700000000000003,0.077,23.6,10.200000000000003,14.100000000000001,7.199999999999999,2.0,0.0,0.09311740890688264,0,,,,1
schedule-760502,加拿大 vs 摩洛哥,2026-07-04T17:00:00.000Z,knockout_early,0,3,0,1,0,1,0,0,away,1,-0.16699999999999993,0.16699999999999993,-0.16699999999999993,2.161,,,0.0,,,0.0,,0.0,0.0,0.0,0.0097,0.0,0.0,-0.06666666666666665,0.3999999999999999,-0.19999999999999996,5.4,-0.5,0.3999999999999986,11.499999999999996,-0.193,-14.399999999999999,1.5,-16.6,-4.300000000000001,-4.0,0.0,-0.059259259259259234,0,,,,1
schedule-760503,巴拉圭 vs 法国,2026-07-04T21:00:00.000Z,knockout_early,0,1,0,1,0,0,1,0,away,1,-1.2850000000000001,1.2850000000000001,-1.2850000000000001,1.939,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-0.4666666666666667,-1.8000000000000003,0.4,6.199999999999999,-2.5999999999999943,1.8999999999999986,-5.600000000000001,-0.654,-4.299999999999997,-37.599999999999994,-49.599999999999994,-46.5,-8.0,-2.0,-0.30037704231252615,0,,,,1
schedule-760504,巴西 vs 挪威,2026-07-05T20:00:00.000Z,knockout_early,1,2,0,1,0,1,0,1,home,0,1.646,1.646,-1.646,2.668,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000007,0.0,-1.2000000000000002,6.8,-4.300000000000011,2.5,3.200000000000003,0.11499999999999996,8.5,6.299999999999997,4.100000000000001,-3.4000000000000057,19.0,5.0,0.2528248587570621,0,,,,1
schedule-760505,墨西哥 vs 英格兰,2026-07-06T00:00:00.000Z,knockout_early,2,3,0,1,0,1,0,1,away,1,-0.29800000000000015,0.29800000000000015,-0.29800000000000015,2.192,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0066,0.1333333333333333,0.3999999999999999,-0.39999999999999997,5.6,-5.0,0.8999999999999986,14.700000000000003,-0.615,0.0,-29.200000000000003,-32.2,-43.400000000000006,1.0,-1.0,-0.12757120253164556,0,,,,1
schedule-760506,葡萄牙 vs 西班牙,2026-07-06T19:00:00.000Z,knockout_early,0,1,0,1,0,0,1,0,away,1,-0.15100000000000002,0.15100000000000002,-0.15100000000000002,2.229,,,0.0,,,0.0,,0.0,0.0,0.0,0.018,-0.0012,0.0064,-0.13333333333333341,-0.20000000000000018,0.39999999999999997,5.000000000000001,0.10000000000002274,1.3000000000000007,16.0,-0.11599999999999999,-3.200000000000003,4.800000000000004,-15.099999999999994,8.5,-8.0,-1.0,-0.009890109890109855,0,,,,1
