factor,label,target,n,median,low_rate,high_rate,lift,correlation,direction
xg_diff_home,xG差越偏主队，主队90分钟胜是否提高,home_win,52,0.3350000000000001,0.3076923076923077,0.6538461538461539,0.34615384615384615,0.44218567214933197,positive
xg_abs_diff,赛前强弱差越大，模型热门是否赢,favorite_win,52,0.37500000000000006,0.5769230769230769,0.6923076923076923,0.11538461538461542,0.21262309537986335,positive
xg_balance,双方越接近，平局是否提高,draw,52,-0.37500000000000006,0.23076923076923078,0.23076923076923078,0.0,0.16008250687718356,flat
xg_total,赛前总xG越高，大2.5是否提高,over25,52,2.2245,0.46153846153846156,0.5769230769230769,0.11538461538461531,0.23498040824903532,positive
xg_total,赛前总xG越高，双方进球是否提高,btts,52,2.2245,0.5769230769230769,0.5769230769230769,0.0,0.046632128036444474,flat
form_points_diff_home,近况积分率差越偏主队，主队胜是否提高,home_win,42,0.1333333333333333,0.34782608695652173,0.631578947368421,0.2837528604118993,0.3703922863102151,positive
form_gf_diff_home,近期进球能力差越偏主队，主队胜是否提高,home_win,42,0.3999999999999999,0.36,0.6470588235294118,0.2870588235294118,0.18430233478325722,positive
form_ga_diff_home,主队近期失球更多，客队胜是否提高,away_win,42,-0.19999999999999996,0.25,0.4444444444444444,0.19444444444444442,0.13239112174590073,positive
form_total_goals,两队近期进失球越开放，大2.5是否提高,over25,42,5.5,0.47619047619047616,0.6190476190476191,0.1428571428571429,0.11718290270421827,positive
form_total_goals,两队近期进失球越开放，双方进球是否提高,btts,42,5.5,0.5238095238095238,0.5714285714285714,0.04761904761904756,0.05112005822667238,positive
height_diff_home,身高差越偏主队，主队胜是否提高,home_win,22,-1.25,0.6363636363636364,0.2727272727272727,-0.36363636363636365,-0.295951169072051,negative
height_diff_home,身高差越大方向偏主队，双方进球是否变化,btts,22,-1.25,0.7272727272727273,0.36363636363636365,-0.36363636363636365,-0.3250652703922258,negative
age_diff_home,年龄差越偏主队，主队胜是否提高,home_win,22,0.0,0.5,0.4,-0.09999999999999998,-0.03294090364750934,negative
gk_score_diff_home,门将代理差越偏主队，主队胜是否提高,home_win,22,-3.0500000000000043,0.18181818181818182,0.7272727272727273,0.5454545454545454,0.5814811997891313,positive
df_score_diff_home,防线代理差越偏主队，小2.5是否提高,under25,22,6.399999999999999,0.36363636363636365,0.45454545454545453,0.09090909090909088,0.051744403886448916,positive
mf_score_diff_home,中场代理差越偏主队，主队胜是否提高,home_win,22,1.8499999999999996,0.09090909090909091,0.8181818181818182,0.7272727272727273,0.7910227640734986,positive
fw_score_diff_home,锋线代理差越偏主队，主队胜是否提高,home_win,22,-0.8500000000000014,0.18181818181818182,0.7272727272727273,0.5454545454545454,0.5019185956727811,positive
wc_appearances_diff_home,世界杯经验差越偏主队，主队胜是否提高,home_win,22,2.0,0.3076923076923077,0.6666666666666666,0.3589743589743589,0.48205038106097686,positive
wc_titles_diff_home,冠军履历差越偏主队，主队胜是否提高,home_win,22,0.0,0.3076923076923077,0.6666666666666666,0.3589743589743589,0.3081623415944563,positive
wc_win_rate_diff_home,世界杯历史胜率差越偏主队，主队胜是否提高,home_win,22,0.050216450216450215,0.2727272727272727,0.6363636363636364,0.36363636363636365,0.5137571542421207,positive
context_diff_home,综合动态信号越偏主队，主队胜是否提高,home_win,22,0.0,0.4444444444444444,0.5,0.05555555555555558,0.14546399592893264,positive
context_btts_delta,动态BTTS修正越高，双方进球是否提高,btts,22,0.0,0.625,0.3333333333333333,-0.2916666666666667,-0.3162778454233896,negative
context_over25_delta,动态大球修正越高，大2.5是否提高,over25,22,0.0,0.55,1,0.44999999999999996,0.018299314318995685,positive
context_draw_delta,动态平局修正越高，平局是否提高,draw,22,0.00615,0.09090909090909091,0.09090909090909091,0.0,0.07750030938894431,flat
