bucket,n,avg_model_probability,actual_hit_rate,avg_edge
0-10%,6,0.07623312247002825,0.16666666666666666,-0.004558544196638409
10-20%,16,0.16614506879150553,0.125,0.0015981937915055429
20-30%,73,0.2687057325438276,0.1780821917808219,0.0358940887082112
30-40%,106,0.35862952429763256,0.4339622641509434,-0.05783745683444288
40-50%,86,0.4535658355885669,0.43023255813953487,-0.0673673039463168
50-60%,75,0.5421332364753082,0.6133333333333333,0.05761656980864158
60-70%,73,0.6331240541682737,0.5616438356164384,0.10497679389430103
70-80%,10,0.7418775751409157,0.9,0.05050257514091573
80-90%,6,0.8380518685451763,0.6666666666666666,0.017635201878509626
90-100%,1,0.9222244460938365,1,-0.012775553906163584
