market_type,edge_threshold,bets,hit_rate,flat_roi,avg_price
all,0.0,174,0.3218390804597701,0.3329749387774983,0.28458477011494254
all,0.03,144,0.3194444444444444,0.42424759200807266,0.2779288194444444
all,0.05,121,0.3140495867768595,0.5547296406724411,0.264797520661157
all,0.08,96,0.2916666666666667,0.6553812730092148,0.24509635416666667
all,0.1,76,0.27631578947368424,0.8301779293306131,0.23298355263157894
all,0.15,53,0.2830188679245283,1.3792252653680903,0.18778773584905661
all_ex_total,0.0,131,0.2595419847328244,-0.2137153323854961,0.2825477099236641
all_ex_total,0.03,105,0.26666666666666666,-0.1929315758810263,0.2806452380952381
all_ex_total,0.05,85,0.25882352941176473,-0.16173963507621597,0.2701352941176471
all_ex_total,0.08,62,0.20967741935483872,-0.29277018535737603,0.25113306451612905
all_ex_total,0.1,45,0.17777777777777778,-0.38455791780606974,0.25250555555555554
all_ex_total,0.15,26,0.15384615384615385,-0.28375939512590104,0.21610576923076924
moneyline,0.0,82,0.2073170731707317,-0.2063263756733186,0.21041158536585367
moneyline,0.03,63,0.19047619047619047,-0.23583421715290667,0.201234126984127
moneyline,0.05,51,0.21568627450980393,-0.1329240060408647,0.19605882352941176
moneyline,0.08,36,0.1388888888888889,-0.36729664598181117,0.169
moneyline,0.1,25,0.12,-0.30419949939742286,0.14626
moneyline,0.15,15,0.13333333333333333,-0.03933747412008284,0.13933333333333334
advance,0.0,22,0.36363636363636365,-0.26011332349649,0.3786931818181818
advance,0.03,18,0.3888888888888889,-0.16915595369497544,0.3786805555555556
advance,0.05,14,0.2857142857142857,-0.32651702593743576,0.3591964285714286
advance,0.08,11,0.36363636363636365,-0.14283985119310005,0.3743181818181818
advance,0.1,8,0.375,-0.23124086096428306,0.4178125
advance,0.15,2,0.5,0.26582278481012644,0.33999999999999997
total,0.0,43,0.5116279069767442,1.9984732067391788,0.2907906976744186
total,0.03,39,0.46153846153846156,2.0858838132479542,0.2706153846153846
total,0.05,36,0.4444444444444444,2.246393208412326,0.25219444444444444
total,0.08,34,0.4411764705882353,2.384363344148292,0.23408823529411765
total,0.1,31,0.41935483870967744,2.593504159045153,0.2046451612903226
total,0.15,27,0.4074074074074074,2.9806179013993415,0.1605185185185185
btts,0.0,22,0.3181818181818182,-0.35671866705910776,0.45636363636363636
btts,0.03,20,0.35,-0.2923905337650185,0.453
btts,0.05,16,0.3125,-0.36811652282534024,0.43875000000000003
btts,0.08,11,0.18181818181818182,-0.6227447207839365,0.405
btts,0.1,10,0.2,-0.5850191928623302,0.399
btts,0.15,7,0.14285714285714285,-0.7599039615846338,0.3535714285714286
handicap,0.0,5,0.4,0.49847161098705756,0.27775
handicap,0.03,4,0.5,0.8730895137338219,0.22843750000000002
handicap,0.05,4,0.5,0.8730895137338219,0.22843750000000002
handicap,0.08,4,0.5,0.8730895137338219,0.22843750000000002
handicap,0.1,2,0,-1.0,0.186875
handicap,0.15,2,0,-1.0,0.186875
