match_id,event_id,date,home_name,away_name,regulation_home_goals,regulation_away_goals,regulation_result_key,after_extra_home_goals,after_extra_away_goals,final_home_goals,final_away_goals,advance_result_key,status_name,status_description,status_detail,source
schedule-760416,760416,2026-06-12T19:00Z,Canada,Bosnia-Herzegovina,1,1,draw,1,1,1,1,draw,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760417,760417,2026-06-13T01:00Z,United States,Paraguay,4,1,home,4,1,4,1,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760418,760418,2026-06-14T01:00Z,Haiti,Scotland,0,1,away,0,1,0,1,away,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760419,760419,2026-06-13T22:00Z,Brazil,Morocco,1,1,draw,1,1,1,1,draw,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760420,760420,2026-06-13T19:00Z,Qatar,Switzerland,1,1,draw,1,1,1,1,draw,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760421,760421,2026-06-14T04:00Z,Australia,Türkiye,2,0,home,2,0,2,0,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760422,760422,2026-06-14T17:00Z,Germany,Curaçao,7,1,home,7,1,7,1,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760423,760423,2026-06-14T23:00Z,Ivory Coast,Ecuador,1,0,home,1,0,1,0,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760424,760424,2026-06-15T02:00Z,Sweden,Tunisia,5,1,home,5,1,5,1,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760425,760425,2026-06-14T20:00Z,Netherlands,Japan,2,2,draw,2,2,2,2,draw,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760426,760426,2026-06-15T19:00Z,Belgium,Egypt,1,1,draw,1,1,1,1,draw,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760427,760427,2026-06-16T01:00Z,Iran,New Zealand,2,2,draw,2,2,2,2,draw,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760428,760428,2026-06-15T16:00Z,Spain,Cape Verde,0,0,draw,0,0,0,0,draw,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760429,760429,2026-06-15T22:00Z,Saudi Arabia,Uruguay,1,1,draw,1,1,1,1,draw,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760430,760430,2026-06-16T22:00Z,Iraq,Norway,1,4,away,1,4,1,4,away,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760431,760431,2026-06-17T04:00Z,Austria,Jordan,3,1,home,3,1,3,1,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760432,760432,2026-06-16T19:00Z,France,Senegal,3,1,home,3,1,3,1,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760433,760433,2026-06-17T01:00Z,Argentina,Algeria,3,0,home,3,0,3,0,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760434,760434,2026-06-17T23:00Z,Ghana,Panama,1,0,home,1,0,1,0,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760435,760435,2026-06-17T17:00Z,Portugal,Congo DR,1,1,draw,1,1,1,1,draw,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760436,760436,2026-06-18T02:00Z,Uzbekistan,Colombia,1,3,away,1,3,1,3,away,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760437,760437,2026-06-17T20:00Z,England,Croatia,4,2,home,4,2,4,2,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760438,760438,2026-06-18T16:00Z,Czechia,South Africa,1,1,draw,1,1,1,1,draw,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760439,760439,2026-06-18T19:00Z,Switzerland,Bosnia-Herzegovina,4,1,home,4,1,4,1,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760440,760440,2026-06-18T22:00Z,Canada,Qatar,6,0,home,6,0,6,0,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760441,760441,2026-06-19T01:00Z,Mexico,South Korea,1,0,home,1,0,1,0,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760442,760442,2026-06-19T19:00Z,United States,Australia,2,0,home,2,0,2,0,home,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
schedule-760443,760443,2026-06-20T03:00Z,Türkiye,Paraguay,0,1,away,0,1,0,1,away,STATUS_FULL_TIME,Full Time,FT,ESPN FIFA World Cup scoreboard
