match_id,match,captured_at,minute,data_quality,home_score,away_score,current_total_goals,score_diff_home,abs_score_diff,current_draw,current_btts,home_shots,away_shots,shots_total,shot_diff_home,sot_total,sot_diff_home,corners_total,corner_diff_home,possession_diff_home,pressure_diff_home,leader_pressure,remaining_goals,any_later_goal,later_goal_home_edge,final_home_win,final_away_win,final_draw,final_over25,final_btts,leader_held,draw_stayed
schedule-760498,瑞士 vs 阿尔及利亚,2026-07-03T04:11:55.585Z,51,synced,2,0,2,2,2,0,0,5,6,11,-1,5,1,3,1,-16.799999999999997,0.5960000000000002,0.5960000000000002,0,0,0,1,0,0,0,0,1,
schedule-760498,瑞士 vs 阿尔及利亚,2026-07-03T04:30:14.115Z,69,synced,2,0,2,2,2,0,0,6,6,12,0,5,1,5,3,-13.200000000000003,1.7539999999999998,1.7539999999999998,0,0,0,1,0,0,0,0,1,
schedule-760500,阿根廷 vs 佛得角,2026-07-03T23:28:04.321Z,67,synced,1,1,2,0,0,1,1,6,5,11,1,6,2,3,-1,28.599999999999994,3.058,,3,1,1,1,0,0,1,1,,0
schedule-760503,巴拉圭 vs 法国,2026-07-04T21:51:05.856Z,45,synced,0,0,0,0,0,1,0,2,5,7,-3,1,-1,7,-7,-59.199999999999996,-6.3759999999999994,,1,1,0,0,1,0,0,0,,0
schedule-760506,葡萄牙 vs 西班牙,2026-07-06T19:44:37.734Z,44,synced,0,0,0,0,0,1,0,5,7,12,-2,5,-1,5,1,-9.400000000000006,-1.7320000000000002,,1,1,0,0,1,0,0,0,,0
schedule-760507,美国 vs 比利时,2026-07-07T00:34:00.578Z,34,synced,1,2,3,-1,1,0,1,1,7,8,-6,4,-2,1,-1,-12.400000000000006,-5.021999999999999,5.021999999999999,2,1,0,0,1,0,1,1,1,
schedule-760507,美国 vs 比利时,2026-07-07T00:35:06.474Z,34,synced,1,2,3,-1,1,0,1,1,8,9,-7,5,-3,1,-1,-14.200000000000003,-6.526,6.526,2,1,0,0,1,0,1,1,1,
schedule-760507,美国 vs 比利时,2026-07-07T00:35:53.236Z,35,synced,1,2,3,-1,1,0,1,1,8,9,-7,5,-3,1,-1,-13.599999999999994,-6.507999999999999,6.507999999999999,2,1,0,0,1,0,1,1,1,
schedule-760507,美国 vs 比利时,2026-07-07T00:37:52.212Z,37,synced,1,2,3,-1,1,0,1,1,8,9,-7,5,-3,1,-1,-14.400000000000006,-6.532,6.532,2,1,0,0,1,0,1,1,1,
schedule-760507,美国 vs 比利时,2026-07-07T00:39:08.680Z,39,synced,1,2,3,-1,1,0,1,1,8,9,-7,5,-3,2,-2,-12.200000000000003,-6.816,6.816,2,1,0,0,1,0,1,1,1,
