factor,label,target,n,median,low_rate,high_rate,lift,correlation,direction
minute,分钟越晚，后续仍有进球是否下降,any_later_goal,56,52.5,0.8928571428571429,0.75,-0.1428571428571429,-0.1990465389182121,negative
minute,平局时分钟越晚，平局是否更能保持,draw_stayed,20,57.0,0.4,0.2,-0.2,-0.09922049982681566,negative
current_total_goals,当前进球越多，最终大2.5是否提高,final_over25,56,2.0,0.65,1,0.35,0.5046149846783429,positive
current_total_goals,当前进球越多，后续是否仍有进球,any_later_goal,56,2.0,0.75,1,0.25,0.34872454988057977,positive
current_btts,当前已经双进，最终BTTS是否锁定,final_btts,56,0.0,0.5483870967741935,1,0.4516129032258065,0.5184758473652127,positive
shots_total,现场射门总量越高，后续进球是否提高,any_later_goal,56,11.0,0.8387096774193549,0.8,-0.03870967741935483,-0.046140157451605414,negative
sot_total,现场射正总量越高，后续进球是否提高,any_later_goal,56,5.0,0.7948717948717948,0.8823529411764706,0.08748114630467574,0.0234322109395869,positive
corners_total,角球总量越高，后续进球是否提高,any_later_goal,56,4.0,0.90625,0.7083333333333334,-0.19791666666666663,-0.28379075308235024,negative
abs_score_diff,领先优势越大，领先方是否守住,leader_held,36,1.0,0.7037037037037037,1,0.2962962962962963,0.3086066999241838,positive
leader_pressure,领先方仍有压力优势，领先是否更稳,leader_held,36,2.3729999999999998,0.6111111111111112,0.9444444444444444,0.33333333333333326,0.6404225535883251,positive
pressure_diff_home,主队现场压力越高，后续主队净进球是否更好,later_goal_home_edge,56,0.5589999999999999,0.21428571428571427,0.6428571428571429,0.4285714285714286,0.46769330528986747,positive
shot_diff_home,主队射门差越高，后续主队净进球是否更好,later_goal_home_edge,56,0.0,0.2777777777777778,0.7,0.42222222222222217,0.46750045686403197,positive
sot_diff_home,主队射正差越高，后续主队净进球是否更好,later_goal_home_edge,56,0.0,0.3870967741935484,0.48,0.0929032258064516,0.2992361958056575,positive
corner_diff_home,主队角球差越高，后续主队净进球是否更好,later_goal_home_edge,56,0.0,0.13793103448275862,0.7407407407407407,0.602809706257982,0.6582082119914635,positive
possession_diff_home,主队控球差越高，后续主队净进球是否更好,later_goal_home_edge,56,-4.0,0.3333333333333333,0.5384615384615384,0.20512820512820512,0.5005640141735993,positive
