match_id,date,home_name,away_name,regulation_home_goals,regulation_away_goals,regulation_result_key,status_name
schedule-760416,2026-06-12T19:00:00.000Z,加拿大,波黑,1,1,draw,
schedule-760417,2026-06-13T01:00:00.000Z,美国,巴拉圭,4,1,home,
schedule-760420,2026-06-13T19:00:00.000Z,卡塔尔,瑞士,1,1,draw,
schedule-760419,2026-06-13T22:00:00.000Z,巴西,摩洛哥,1,1,draw,
schedule-760418,2026-06-14T01:00:00.000Z,海地,苏格兰,0,1,away,
schedule-760421,2026-06-14T04:00:00.000Z,澳大利亚,土耳其,2,0,home,
schedule-760422,2026-06-14T17:00:00.000Z,德国,库拉索,7,1,home,
schedule-760425,2026-06-14T20:00:00.000Z,荷兰,日本,2,2,draw,
schedule-760423,2026-06-14T23:00:00.000Z,科特迪瓦,厄瓜多尔,1,0,home,
schedule-760424,2026-06-15T02:00:00.000Z,瑞典,突尼斯,5,1,home,
schedule-760428,2026-06-15T16:00:00.000Z,西班牙,佛得角,0,0,draw,
schedule-760426,2026-06-15T19:00:00.000Z,比利时,埃及,1,1,draw,
schedule-760429,2026-06-15T22:00:00.000Z,沙特阿拉伯,乌拉圭,1,1,draw,
schedule-760427,2026-06-16T01:00:00.000Z,伊朗,新西兰,2,2,draw,
schedule-760432,2026-06-16T19:00:00.000Z,法国,塞内加尔,3,1,home,
schedule-760430,2026-06-16T22:00:00.000Z,伊拉克,挪威,1,4,away,
schedule-760433,2026-06-17T01:00:00.000Z,阿根廷,阿尔及利亚,3,0,home,
schedule-760431,2026-06-17T04:00:00.000Z,奥地利,约旦,3,1,home,
schedule-760435,2026-06-17T17:00:00.000Z,葡萄牙,刚果（金）,1,1,draw,
schedule-760437,2026-06-17T20:00:00.000Z,英格兰,克罗地亚,4,2,home,
schedule-760434,2026-06-17T23:00:00.000Z,加纳,巴拿马,1,0,home,
schedule-760436,2026-06-18T02:00:00.000Z,乌兹别克斯坦,哥伦比亚,1,3,away,
schedule-760438,2026-06-18T16:00:00.000Z,捷克,南非,1,1,draw,
schedule-760439,2026-06-18T19:00:00.000Z,瑞士,波黑,4,1,home,
schedule-760440,2026-06-18T22:00:00.000Z,加拿大,卡塔尔,6,0,home,
schedule-760441,2026-06-19T01:00:00.000Z,墨西哥,韩国,1,0,home,
schedule-760442,2026-06-19T19:00:00.000Z,美国,澳大利亚,2,0,home,
schedule-760445,2026-06-19T22:00:00.000Z,苏格兰,摩洛哥,0,1,away,
schedule-760444,2026-06-20T00:30:00.000Z,巴西,海地,3,0,home,
schedule-760443,2026-06-20T03:00:00.000Z,土耳其,巴拉圭,0,1,away,
schedule-760497,2026-07-02T19:00:00.000Z,西班牙,奥地利,3,0,home,STATUS_FULL_TIME
schedule-760496,2026-07-02T23:00:00.000Z,葡萄牙,克罗地亚,2,1,home,STATUS_FULL_TIME
schedule-760498,2026-07-03T03:00:00.000Z,瑞士,阿尔及利亚,2,0,home,STATUS_FULL_TIME
schedule-760499,2026-07-03T18:00:00.000Z,澳大利亚,埃及,1,1,draw,STATUS_FINAL_PEN
schedule-760500,2026-07-03T22:00:00.000Z,阿根廷,佛得角,3,2,home,STATUS_FINAL_AET
schedule-760501,2026-07-04T01:30:00.000Z,哥伦比亚,加纳,1,0,home,STATUS_FULL_TIME
schedule-760502,2026-07-04T17:00:00.000Z,加拿大,摩洛哥,0,3,away,STATUS_FULL_TIME
schedule-760503,2026-07-04T21:00:00.000Z,巴拉圭,法国,0,1,away,STATUS_FULL_TIME
schedule-760504,2026-07-05T20:00:00.000Z,巴西,挪威,1,2,away,STATUS_FULL_TIME
schedule-760505,2026-07-06T00:00:00.000Z,墨西哥,英格兰,2,3,away,STATUS_FULL_TIME
schedule-760506,2026-07-06T19:00:00.000Z,葡萄牙,西班牙,0,1,away,STATUS_FULL_TIME
schedule-760507,2026-07-07T00:00:00.000Z,美国,比利时,1,4,away,STATUS_FULL_TIME
schedule-760509,2026-07-07T16:00:00.000Z,阿根廷,埃及,3,2,home,STATUS_FULL_TIME
schedule-760508,2026-07-07T20:00:00.000Z,瑞士,哥伦比亚,0,0,draw,STATUS_FINAL_PEN
schedule-760510,2026-07-09T20:00:00.000Z,法国,摩洛哥,2,0,home,STATUS_FULL_TIME
schedule-760511,2026-07-10T19:00:00.000Z,西班牙,比利时,2,1,home,STATUS_FULL_TIME
schedule-760512,2026-07-11T21:00:00.000Z,挪威,英格兰,1,2,away,STATUS_FINAL_AET
schedule-760513,2026-07-12T01:00:00.000Z,阿根廷,瑞士,3,1,home,STATUS_FINAL_AET
schedule-760514,2026-07-14T19:00:00.000Z,法国,西班牙,0,2,away,STATUS_FULL_TIME
schedule-760515,2026-07-15T19:00:00.000Z,英格兰,阿根廷,1,2,away,STATUS_FULL_TIME
schedule-760516,2026-07-18T21:00:00.000Z,法国,英格兰,4,6,away,STATUS_FULL_TIME
schedule-760517,2026-07-19T19:00:00.000Z,西班牙,阿根廷,1,0,home,STATUS_FINAL_AET
