id,snapshot_id,match_id,recommendation_key,market_type,market_name,model_probability,push_probability,market_price,market_source,edge,max_buy_price,odds_decimal,odds_hong_kong,odds_american,decision_label,decision_action,elite_count,elite_current_value,elite_total_bought,payload_json,home_name,away_name,kickoff_shanghai,stage,selection_reason,prediction_key,prediction_probability,prediction_confidence,completeness_mode,completeness_score,lambda_home,lambda_away,settled,flat_profit_per_1
24549,dashboard-2026-06-12T15-58-58-892Z:schedule-760416,schedule-760416,schedule-760416-auto-handicap-away,handicap,波黑 受让 0.5 球,0.5488571041671201,0.0,0.53,本地盘口快照,0.018857104167120053,0.51385710416712,1.8867924528301885,0.8867924528301885,-112.76595744680851,观察价格,WATCH,0,0.0,0.0,{},加拿大,波黑,2026-06-12T19:00:00.000Z,modelled_group_window,latest_before_kickoff,home,0.4511427426777186,high,post_lineup,0.9071428571428571,1.31,0.94,1,0.8867924528301885
24548,dashboard-2026-06-12T15-58-58-892Z:schedule-760416,schedule-760416,schedule-760416-auto-handicap-home,handicap,加拿大 让 0.5 球,0.4511427426777186,0.0,0.43,本地盘口快照,0.021142742677718596,0.41614274267771856,2.3255813953488373,1.3255813953488373,132.55813953488374,观察价格,WATCH,0,0.0,0.0,{},加拿大,波黑,2026-06-12T19:00:00.000Z,modelled_group_window,latest_before_kickoff,home,0.4511427426777186,high,post_lineup,0.9071428571428571,1.31,0.94,0,-1.0
24552,dashboard-2026-06-12T15-58-58-892Z:schedule-760416,schedule-760416,away,moneyline,波黑胜,0.26780487405980574,,0.195,Polymarket,0.07280487405980574,0.23280487405980574,5.128205128205128,4.128205128205128,412.8205128205128,强正向信号,BUY,3,19655.460600000002,109087.4343,{},加拿大,波黑,2026-06-12T19:00:00.000Z,modelled_group_window,latest_before_kickoff,home,0.4511427426777186,high,post_lineup,0.9071428571428571,1.31,0.94,0,-1.0
24550,dashboard-2026-06-12T15-58-58-892Z:schedule-760416,schedule-760416,draw,moneyline,平局,0.28105223010731367,,0.275,Polymarket,0.00605223010731365,0.24605223010731367,3.6363636363636362,2.6363636363636362,263.6363636363636,无明确信号,NO_TRADE,3,367.16769999999997,6620.8357,{},加拿大,波黑,2026-06-12T19:00:00.000Z,modelled_group_window,latest_before_kickoff,home,0.4511427426777186,high,post_lineup,0.9071428571428571,1.31,0.94,1,2.6363636363636362
24547,dashboard-2026-06-12T15-58-58-892Z:schedule-760416,schedule-760416,home,moneyline,加拿大胜,0.4511427426777186,,0.535,Polymarket,-0.08385725732228144,0.41614274267771856,1.8691588785046729,0.8691588785046729,-115.05376344086022,回避,AVOID_OR_SELL,5,513378.66880000004,959586.2971,{},加拿大,波黑,2026-06-12T19:00:00.000Z,modelled_group_window,latest_before_kickoff,home,0.4511427426777186,high,post_lineup,0.9071428571428571,1.31,0.94,0,-1.0
24551,dashboard-2026-06-12T15-58-58-892Z:schedule-760416,schedule-760416,over25,total,大于 2.5 球,0.39066073300172166,,0.415,Polymarket,-0.02433926699827832,0.35566073300172163,2.4096385542168677,1.4096385542168677,140.96385542168676,无明确信号,NO_TRADE,3,2056.3635,7643.683,{},加拿大,波黑,2026-06-12T19:00:00.000Z,modelled_group_window,latest_before_kickoff,home,0.4511427426777186,high,post_lineup,0.9071428571428571,1.31,0.94,0,-1.0
24546,dashboard-2026-06-12T15-58-58-892Z:schedule-760416,schedule-760416,under25,total,小于 2.5 球,0.6093392669982783,,0.585,Polymarket,0.024339266998278375,0.5743392669982783,1.7094017094017095,0.7094017094017095,-140.96385542168673,观察价格,WATCH,3,28845.660799999998,49308.8219,{},加拿大,波黑,2026-06-12T19:00:00.000Z,modelled_group_window,latest_before_kickoff,home,0.4511427426777186,high,post_lineup,0.9071428571428571,1.31,0.94,1,0.7094017094017095
24554,dashboard-2026-06-12T15-58-58-892Z:schedule-760417,schedule-760417,schedule-760417-auto-handicap-away,handicap,巴拉圭 受让 0.5 球,0.5516729812699986,0.0,0.53,本地盘口快照,0.021672981269998615,0.5166729812699986,1.8867924528301885,0.8867924528301885,-112.76595744680851,观察价格,WATCH,0,0.0,0.0,{},美国,巴拉圭,2026-06-13T01:00:00.000Z,modelled_group_window,latest_before_kickoff,home,0.4483268762815855,medium,dynamic,0.8357142857142856,1.3,0.94,0,-1.0
24556,dashboard-2026-06-12T15-58-58-892Z:schedule-760417,schedule-760417,schedule-760417-auto-handicap-home,handicap,美国 让 0.5 球,0.4483268762815855,0.0,0.43,本地盘口快照,0.018326876281585525,0.4133268762815855,2.3255813953488373,1.3255813953488373,132.55813953488374,观察价格,WATCH,0,0.0,0.0,{},美国,巴拉圭,2026-06-13T01:00:00.000Z,modelled_group_window,latest_before_kickoff,home,0.4483268762815855,medium,dynamic,0.8357142857142856,1.3,0.94,1,1.3255813953488373
24559,dashboard-2026-06-12T15-58-58-892Z:schedule-760417,schedule-760417,away,moneyline,巴拉圭胜,0.2695497619322298,,0.235,Polymarket,0.034549761932229806,0.2345497619322298,4.25531914893617,3.25531914893617,325.53191489361706,观察价格,WATCH,3,33384.9178,212136.846,{},美国,巴拉圭,2026-06-13T01:00:00.000Z,modelled_group_window,latest_before_kickoff,home,0.4483268762815855,medium,dynamic,0.8357142857142856,1.3,0.94,0,-1.0
